﻿dish_name;compound;id_category;price;weight_volume;cost
Салат Цезарь с курицей;Листья салата айсберг, нежное куриное филе в соусе песто, спелые томаты черри, хрустящие крутоны, сыр Пармезан, заправка соус Цезарь.;1;520,00;210 г.;234,00
Греческий;Огурцы, помидоры, сыр фета;1;280,00;210 г.;126,00
Оливье;Картофель, морковь, яйца;1;250,00;210 г.;112,50
Нисуаз;Тунец, овощи;1;320,00;210 г.;144,00
Салат цезарь с креветками;Листья салата, обжаренные тигровые креветки, спелые томаты черри, хрустящие крутоны, сыр Пармезан, заправка соус Цезарь.;1;580,00;210 г.;261,00
Витаминный;Овощи, зелень;1;220,00;210 г.;99,00
Мимоза;Рыба, картофель;1;270,00;210 г.;121,50
Кобб;Курица, бекон, авокадо;1;380,00;210 г.;171,00
Вальдорф;Яблоко, сельдерей;1;290,00;210 г.;130,50
Табуле;Питта, булгур;1;260,00;210 г.;117,00
Брускетта;Хлеб, томаты, базилик;2;220,00;150 г.;99,00
Карпаччо;Говядина, специи;2;450,00;150 г.;202,50
Тарталетки с икрой;Икра, крем;2;500,00;100 г.;225,00
Сырная тарелка;Разные сыры;2;600,00;200 г.;270,00
Рулетики из баклажанов;Баклажаны, сыр;2;280,00;180 г.;126,00
Карпаччо из тунца;Тунец, специи;2;420,00;150 г.;189,00
Креветки в соусе;Креветки, соус;2;350,00;150 г.;157,50
Сырные палочки;Сыр, панировка;2;240,00;120 г.;108,00
Рулетики из ветчины;Ветчина, сыр;2;260,00;150 г.;117,00
Сырные крокеты;Сыр, тесто;2;230,00;120 г.;103,50
Карбонара;Спагетти, бекон, сыр;3;450,00;350 г.;202,50
Болоньезе;Спагетти, мясной соус;3;420,00;350 г.;189,00
Паста с морепродуктами;Лапша, морепродукты;3;550,00;350 г.;247,50
Карри с курицей;Лапша, курица, специи;3;480,00;350 г.;216,00
Ризотто;Рис, грибы, сливки;3;420,00;300 г.;189,00
Паста примавера;Овощи, сливки;3;400,00;350 г.;180,00
Паста с лососем;Лосось, сливки;3;520,00;350 г.;234,00
Паста карбонара;Бекон, сыр;3;430,00;350 г.;193,50
Паста с грибами;Грибы, сливки;3;390,00;350 г.;175,50
Паста с курицей;Курица, соус;3;410,00;350 г.;184,50
Стейк Рибай;Говядина, специи;4;800,00;300 г.;360,00
Филе миньон;Говядина;4;900,00;250 г.;405,00
Пельмени;Тесто, мясо;4;310,00;300 г.;139,50
Ризотто с грибами;Рис, грибы, сливки;4;420,00;300 г.;189,00
Паэлья;Рис, морепродукты;4;500,00;350 г.;225,00
Жаркое по-домашнему;Мясо, овощи;4;450,00;350 г.;202,50
Оссобуко;Голяшка телятины;4;750,00;300 г.;337,50
Бефстроганов;Говядина, соус;4;480,00;300 г.;216,00
Цыплёнок табака;Курица, специи;4;420,00;400 г.;189,00
Свинина в кисло-сладком соусе;Свинина, овощи;4;400,00;300 г.;180,00
Форель запечённая;Рыба, специи;4;600,00;350 г.;270,00
Утка по-пекински;Утка, соус;4;700,00;350 г.;315,00
Баранина с овощами;Баранина, овощи;4;550,00;350 г.;247,50
Телятина по-бургундски;Телятина, вино;4;650,00;300 г.;292,50
Борщ;Свекла, капуста, мясо;5;200,00;350 г.;90,00
Грибной суп;Грибы, картофель, сливки;5;220,00;350 г.;99,00
Том Ям;Креветки, кокосовое молоко;5;350,00;350 г.;157,50
Уха;Рыба, картофель, лук;5;240,00;350 г.;108,00
Щи;Капуста, мясо;5;210,00;350 г.;94,50
Суп-пюре из тыквы;Тыква, сливки;5;230,00;350 г.;103,50
Харчо;Говядина, специи;5;250,00;350 г.;112,50
Солянка;Мясо, колбаса, огурцы;5;260,00;350 г.;117,00
Крем-суп грибной;Грибы, сливки;5;245,00;350 г.;110,25
Суп лапша домашняя;Лапша, курица;5;225,00;350 г.;101,25
Чикенбургер;Курица, булка, овощи;6;250,00;250 г.;112,50
Биг Мак;Говядина, булка, соус;6;300,00;300 г.;135,00
Веджибургер;Овощи, булка;6;220,00;250 г.;99,00
Рыбный бургер;Рыба, булка;6;280,00;250 г.;126,00
Двойной чизбургер;Говядина, сыр;6;350,00;300 г.;157,50
Чизбургер классический;Говядина, сыр;6;270,00;250 г.;121,50
Бургер с беконом;Говядина, бекон;6;320,00;300 г.;144,00
Веганский бургер;Овощи, соя;6;240,00;250 г.;108,00
Бургер с креветками;Креветки, булка;6;310,00;250 г.;139,50
Бургер с индейкой;Индейка, овощи;6;290,00;250 г.;130,50
Маргарита;Тесто, помидоры, сыр;7;300,00;400 г.;135,00
Пепперони;Тесто, пепперони, сыр;7;350,00;450 г.;157,50
Четыре сыра;Тесто, 4 вида сыра;7;370,00;400 г.;166,50
Гавайская;Ананас, ветчина, сыр;7;320,00;450 г.;144,00
Мясная;Тесто, мясо, ветчина, бекон;7;380,00;500 г.;171,00
Морская;Морепродукты, сыр;7;400,00;450 г.;180,00
Вегетарианская;Овощи, грибы, сыр;7;330,00;450 г.;148,50
Диабло;Острые ингредиенты, пепперони;7;360,00;450 г.;162,00
Карбонара;Бекон, сыр, соус;7;340,00;450 г.;153,00
Феррара;Ветчина, грибы, сыр;7;355,00;450 г.;159,75
