﻿id_order;id_dish;quantity;price_at_order;is_gift;id_present
1;1;2;520,00;False;
1;21;1;450,00;False;
1;45;1;200,00;False;
2;5;1;580,00;False;
2;33;2;310,00;False;
4;2;1;280,00;False;
4;8;2;380,00;False;
5;46;2;220,00;False;
5;56;1;300,00;False;
5;70;3;400,00;False;
6;3;2;250,00;False;
6;22;1;420,00;False;
6;57;1;220,00;False;
8;4;1;320,00;False;
8;32;2;900,00;False;
9;9;1;290,00;False;
9;34;2;420,00;False;
10;10;2;260,00;False;
10;24;1;480,00;False;
10;49;1;210,00;False;
11;11;2;220,00;False;
11;25;1;420,00;False;
11;50;1;230,00;False;
11;66;2;350,00;False;
13;14;1;600,00;False;
13;36;1;450,00;False;
14;6;2;220,00;False;
14;15;1;280,00;False;
14;26;1;400,00;False;
14;69;3;380,00;False;
15;16;1;420,00;False;
15;37;1;750,00;False;
15;51;2;250,00;False;
17;18;2;240,00;False;
17;39;1;420,00;False;
18;19;1;260,00;False;
18;40;1;400,00;False;
18;53;2;245,00;False;
19;20;2;230,00;False;
19;41;1;600,00;False;
19;54;1;225,00;False;
19;72;3;360,00;False;
20;1;1;520,00;False;
20;42;1;700,00;False;
22;3;1;250,00;False;
22;44;2;650,00;False;
23;4;1;320,00;False;
23;5;1;580,00;False;
23;45;2;200,00;False;
23;56;1;300,00;False;
25;7;1;270,00;False;
25;47;1;350,00;False;
26;8;2;380,00;False;
26;48;1;240,00;False;
26;58;1;280,00;False;
27;9;1;290,00;False;
27;49;2;210,00;False;
28;10;1;260,00;False;
28;21;1;450,00;False;
28;31;1;800,00;False;
28;59;1;350,00;False;
31;13;1;500,00;False;
31;24;1;480,00;False;
31;32;2;900,00;False;
31;61;1;280,00;False;
32;14;1;600,00;False;
32;25;1;420,00;False;
32;62;3;240,00;False;
34;16;1;420,00;False;
34;26;1;400,00;False;
34;34;1;420,00;False;
34;63;2;310,00;False;
35;17;1;350,00;False;
35;27;1;520,00;False;
35;64;1;290,00;False;
36;18;2;240,00;False;
36;35;1;500,00;False;
38;20;1;230,00;False;
38;29;2;390,00;False;
38;66;1;350,00;False;
39;1;2;520,00;False;
39;37;1;750,00;False;
40;2;1;280,00;False;
40;30;1;410,00;False;
40;38;1;480,00;False;
40;67;2;370,00;False;
42;4;1;320,00;False;
42;40;2;400,00;False;
43;5;1;580,00;False;
43;41;1;600,00;False;
43;50;2;230,00;False;
43;69;1;380,00;False;
44;6;2;220,00;False;
44;42;1;700,00;False;
44;51;1;250,00;False;
46;8;1;380,00;False;
46;44;1;650,00;False;
46;52;1;260,00;False;
46;70;1;400,00;False;
47;9;1;290,00;False;
47;45;2;200,00;False;
47;53;1;245,00;False;
48;10;1;260,00;False;
48;46;1;220,00;False;
48;54;2;225,00;False;
48;71;1;330,00;False;
50;12;1;450,00;False;
50;48;1;240,00;False;
50;56;2;300,00;False;
50;72;1;360,00;False;
67;1;3;520,00;False;
67;1;1;0,00;True;2
